source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
14547066	VFB_001001o4	CM4 s ven 7 Right (L1EM:14547066)	['CM4 lineage neuron']						
17360225	VFB_00102fej	DALv1 contralateral 1 right (L1EM:17360225)	['DALv1 lineage neuron']						
14754777	VFB_00102f3l	DALv1_PB1_right (L1EM:14754777)	['DALv1 lineage neuron']						
17173852	VFB_00102fcx	DALv3 ring2_right (LAL neuron) (L1EM:17173852)	['DALv3 lineage neuron']						
16474159	VFB_00102f96	DPMpm2 2 left (L1EM:16474159)	['DPMpm2 lineage neuron']						
13235454	VFB_001001kb	DPMm1 upp comm s 3 Right (L1EM:13235454)	['DPMm1 lineage neuron']						
15586949	VFB_00102f58	BLVp1 local a left (L1EM:15586949)	['BLVp1 lineage neuron']						
11306294	VFB_00102ey9	DPMm1 FB1_right (L1EM:11306294)	['DPMm1 lineage neuron']						
8546775	VFB_00102ege	DPLam hook right (L1EM:8546775)	['DPLam lineage neuron']						
17850822	VFB_00102fim	BAlp4 ascending 4 right (L1EM:17850822)	['BAlp4 lineage neuron']						
18929470	VFB_00102fkl	BAmd2 descending 2 left (L1EM:18929470)	['BAmd2 lineage neuron']						
13239550	VFB_001001ke	DPMm1 upp comm s 4 Right (L1EM:13239550)	['DPMm1 lineage neuron']						
5708994	VFB_00102emk	BLAvm potential PN left (L1EM:5708994)	['BLAvm lineage neuron']						
8574334	VFB_001001f9	DPMm1 upp comm s 2 Right (L1EM:8574334)	['DPMm1 lineage neuron']						
14448545	VFB_001001mu	BLVp2 s 2 Left (L1EM:14448545)	['BLVp2 lineage neuron']						
14644884	VFB_001001p9	CM4 s dor pos com 1 Right (L1EM:14644884)	['CM4 lineage neuron']						
19359287	VFB_001001zr	BAlv s 2 Left (L1EM:19359287)	['BAlv lineage neuron']						
15672269	VFB_00102f66	DPML1_r (L1EM:15672269)	['DPMl1 lineage neuron']						
13237321	VFB_001001kc	DPMm1 upp comm s 1 Right (L1EM:13237321)	['DPMm1 lineage neuron']						
9714476	VFB_00102eu6	BAmd1 contralateral 1 left (L1EM:9714476)	['BAmd1 lineage neuron']						
9947921	VFB_001001fy	CM4 s ppFB 6 Left (L1EM:9947921)	['CM4 lineage neuron']						
12494383	VFB_001001iv	CM4 s ppFB 7 Left (L1EM:12494383)	['CM4 lineage neuron']						
9947805	VFB_001001fx	CM4 s dor pos MEF 3 Left (L1EM:9947805)	['CM4 lineage neuron']						
3848843	VFB_00102ejr	BLVp1 bilateral descending right; DP1 of GPhN right (ipsilateral PN to bilateral LH); BLVp1 4 (L1EM:3848843)	['BLVp1 lineage neuron']						
